AMD3DNowEx	Amd3DNowEx
BadFixupRvaSpanIConstIterator	BadFixupRvaSpanIConstantIterator
BaseOpnd	BaseOperand
BaseRegClass	BaseRegisterCategory
BaseRelocRva	BaseRelocationRva
BaseSym	BaseSymbol
BaseTypeLinkIConstIterator	BaseTypeLinkIConstantIterator
BaseVarSymLoc	BaseVariableSymbolLocation
BasedPtrSub	BasedPointerSubtract
BasicStackVarNode	BasicStackVariableNode
BeforeFieldInit	BeforeFieldInitialize
BeginCompilandEnum	BeginCompilationUnitEnum
BeginInit	BeginInitialization
BeginOpt	BeginOptimization
BeginRegClass	BeginRegisterCategory
BeginUDT	BeginUserDefinedType
BinaryExprWithAssignNode	BinaryExpressionWithAssignNode
BitCompl	BitComplement
BitTestCompl	BitTestComplement
BlkSort	BlockSort
BlockInstrNum	BlockInstructionNumber
Bool	Boolean
BoolCtrlValue	BooleanControlValue
BoolType	BooleanType
BoxAggrType	BoxedAggregateType
BranchInstrFreeList	BranchInstructionFreeList
BranchTargetOpnd	BranchTargetOperand
BreakExprTmp	BreakExpressionTemporary
BuildDefTable	BuildDefinitionTable
BuildDomFrontiers	BuildDominanceFrontiers
BuildFuncIR	BuildFunctionIR
BuildIUCGNodesPhase	BuildInterUnitCallGraphNodesPhase
BuildLoopInfoWithAttr	BuildLoopInfoWithAttribute
BuildPlugInPhases	BuildPlugInPhases
BuildPostDoms	BuildPostDominators
BuildUseDef	BuildUseDefinition
BuildUseDefForExpression	BuildUseDefinitionForExpression
BuildUseDefForMemoryOperand	BuildUseDefinitionForMemoryOperand
Bv	BitVector
BvCode	BitVectorCode
BvPartialDefs	BvPartialDefinitions
BytesReversedHi	BytesReversedHigh
CBranch	ConditionalBranch
CLR	Clr
CLRNativeEllipsis	ClrNativeEllipsis
CModKind	CustomModifierKind
CacheVer	CacheVersion
CallAliasedMemTag	CallAliasedMemoryTag
CallInstrCheckRule	CallInstructionCheckRule
CallSiteInstr	CallSiteInstruction
CallSiteTokenSym	CallSiteTokenSymbol
CallerFuncUnit	CallerFunctionUnit
CanDynamicLocalAlign	CanDynamicallyAlignLocals
CanEnregAggr	CanEnregisterAggregate
CanEnregParam	CanEnregisterParameter
CanEnregRetValueType	CanEnregisterReturnValueType
CanInvertCondCode	CanInvertConditionCode
CanRenameSrc	CanRenameSource
CanReverseCondCode	CanReverseConditionCode
CancelOpnd	CancelOperand
CandidateIConstIterator	CandidateIConstantIterator
CanonAddrModeOpnds	CanonicalizeAddressModeOperands
CanonEnterExitBlock	CanonicalizeEnterExitBlock
CanonFinalPhase	CanonicalizeFinalPhase
CanonPhase	CanonicalizePhase
CanonicalizeOpnd	CanonicalizeOperand
CaseLabelOpndExtensionObject	CaseLabelOperandExtensionObject
CastArchBaseEncode	CastArchitectureBaseEncode
CastArchEHLower	CastArchitectureEHLower
CastArchInliner	CastArchitectureInliner
CastArchLower	CastArchitectureLower
CastCanon	CastCanonicalize
CastHelperSyms	CastHelperSymbols
ChangeCondCode	ChangeConditionCode
ChangeEdgePred	ChangeEdgePredecessor
ChangeEdgeSuccByPrepend	ChangeEdgeSuccessorByPrepending
ChangeLabelSrc	ChangeLabelSource
ChangeSrcToImmediateOpnd	ChangeSourceToImmediateOperand
ChangeToAddrNoType	ChangeToAddressNoType
ChangeToCondBranch	ChangeToConditionBranch
ChangeToIntImm	ChangeToIntImmediate
ChangeToParam	ChangeToParameter
ChangeToRet	ChangeToReturn
ChangeToSym	ChangeToSymbol
ChangeToUnsignedCmp	ChangeToUnsignedCompare
Char16Type	Character16Type
CharSet	CharacterSet
CheckFunc	CheckFunction
CheckSrcAt	CheckSourceAt
CheckUtil	CheckUtility
CheckVarFreeList	CheckVariableFreeList
ChildNodeAddr	ChildNodeAddress
ChkAssign	CheckAssign
ChkNull	CheckNull
ChkSubscript	CheckSubscript
CilReader	CxxILReader
ClassHandlePtr	ClassHandlePointer
ClearBool	ClearBoolean
ClearDefUse	ClearDefinitionUse
CloneOpnd	CloneOperand
ClrInitFrame	ClrInitializationFrame
ClrTokenRef	ClrTokenReference
CmdOriginalRva	CompareOriginalRva
CmpCtrl	CompareControl
CmpInstr	CompareInstruction
CmpInstrFreeList	CompareInstructionFreeList
CmpOperands	CompareOperands
CmpOriginalRvaForSort	CompareOriginalRvaForSort
Cntr	Counter
CntrCtrlValue	CounterControlValue
CodeBufAddr	CodeBufferAddress
CodeGenBaseInit	CodeGenerationBaseInitialize
CodeStr	CodeString
CoerceDst	ForceDestination
CoerceSrc	ForceSource
CoffInit	CoffInitialize
ColorMaxCtrl	ColorMaxControl
ColorOutStats	ColorOutStatistics
ColoroutConflictTestKind	ColorOutConflictTestKind
CombineArgsRev	CombineArgumentsRev
CommonDomFrontier	CommonDominanceFrontier
CommuteSrcs	CommuteSources
CompCtrl	ComponentControl
CompCtrlVector	ComponentControlVector
CompMod	ComponentModifier
CompModCtrlIConstIterator	ComponentModifierControlIConstantIterator
CompParser	ComponentParser
CompilandSym	CompilationUnitSymbol
ComputeBaseWithPrimaryVtable	ComputeBaseWithPrimaryVTable
ComputeInstrRelByteOffset	ComputeInstructionRelativeByteOffset
ComputeIterPostDomFrontier	ComputeIteratorPostDominanceFrontier
CondCode	ConditionCode
CondCodeEntry	ConditionCodeEntry
CondCodeToString	ConditionCodeToString
CondDefInstr	ConditionDefInstruction
ConfidenceIConstIterator	ConfidenceIConstantIterator
Const	Constant
ConstCellFreeList	ConstantCellFreeList
ConstDivSigned32	ConstantDivideInt32
ConstDivUnsigned32	ConstantDivideUInt32
ConstLattice	ConstantLattice
ConstProp	ConstantPropagation
ConstPropStats	ConstantPropagationStatistics
ConstSymFreeList	ConstantSymbolFreeList
ConstSymList	ConstantSymbolList
Consts	Constants
ContArg	ContinuationArgument
ContainsNoMD	ContainsNoMetadata
ContribUnitEnumerationFlags	ContributionUnitEnumerationFlags
ContributionUnitEnumerationFlags	ContributionUnitEnumerationKind
ConvDName	ConvertDecoratedName
ConvKind	ConvertKind
ConvMinFlowToOldForm	ConvertMinFlowToOldForm
ConvOvf	ConvertWithOverflow
ConvSD	ConvertSD
ConvThroughMem	ConvertThroughMemory
ConvertToMinimumFlow	ConvertToMinFlow
CopyBlk	CpBlk
CopyMemOpnd	CopyMemoryOperand
CopyObj	CpObj
CopyOpndEvent	CopyOperandEvent
CopyOpndEventDependencyList	CopyOperandEventDependencyList
CopyPropOpt	CopyPropagatorOption
CopyToMemOpnd	CopyToMemoryOperand
CopyToVarOpnd	CopyToVariableOperand
CountArgsForInstr	CountArgumentsForInstruction
CountRetsForInstr	CountReturnTypesForInstruction
CppEH	CxxEH
CppEhDisabledCtrl	CxxEHDisabledControl
CppMods	CxxModifiers
CreateAndDefineLocalIntrinSym	CreateAndDefineLocalIntrinsicSymbol
CreateDefTokenSym	CreateDefTokenSymbol
CreateDefTokenSymbol	CreateDefinitionTokenSymbol
CreateFuncletSym	CreateNestedFunctionSymbol
CreateGlobalDefs	CreateGlobalDefinitions
CreateInstrs	CreateInstructions
CreateOMapFromSrc	CreateOMapFromSource
CreateOutArgAreaSym	CreateOutArgumentAreaSymbol
CreateRefTokenSym	CreateReferenceTokenSymbol
CreateSubDataInstr	CreateSubDataInstruction
CreateTypeDefOfInt	CreateTypeDefinitionOfInt
CreateTypeRefForRuntimeBuiltInType	CreateTypeReferenceForRuntimeBuiltInType
CrossLinkedLoopTypeDefOfInt	CrossLinkedLoopTypeDefinitionOfInt
CtrlIConstIterator	ControlIConstantIterator
CtrlValue	ControlValue
CtrlVector	ControlVector
CultureStr	CultureString
CurrBitOffset	CurrentBitOffset
CurrDebugTag	CurrentDebugTag
CurrFuncUnit	CurrentFunctionUnit
CurrLineNum	CurrentLineNumber
CurrRegionNode	CurrentRegionNode
CurrentIntRegIndex	CurrentIntRegisterIndex
CurrentMmxRegIndex	CurrentMmxRegisterIndex
CurrentobjectNode	CurrentObjectNode
CustomModifierOfTypeDefOfInt	CustomModifierOfTypeDefinitionOfInt
CxxQueryExceptSize	CxxQueryExceptionSize
CxxUnregisterExceptObject	CxxUnregisterExceptionObject
DLLExpCom	DllExportCommunal
DLLExpDef	DllExportDefinition
DLLExportCom	DllExportCommunal
DLLImport	DllImport
DataFilePtr	DataFilePointer
DataInstr	DataInstruction
DataLoc	DataLocation
DataUnitBaseReloc	DataUnitBaseRelocation
DbgData	DebugData
DeAnnotateInstr	RemoveAnnotationsInstruction
DeadCodeOpt	DeadCodeOptimization
DeadStoresDebugCtrl	DeadStoresDebugControl
DebugCtrl	DebugControl
DebugInfoIConstIterator	DebugInfoIConstantIterator
DecorateFunc	DecorateFunction
Def	Definition
DefInstr	DefInstruction
DefInstruction	DefinitionInstruction
DefMDToken	DefinitionMDToken
DefNum	DefNumber
DefNumToString	DefinitionNumToString
DefNumberToString	DefinitionNumberToString
DefOperandList	DefinitionOperandList
DefOperands	DefinitionOperands
DefOpnd	DefinitionOpnd
DefOpndList	DefinitionOpndList
DefOpndTable	DefinitionOpndTable
DefTypeIndex	DefinitionTypeIndex
DefUseLoc	DefinitionUseLoc
DefUseLocation	DefinitionUseLocation
DefaultCtrl	DefaultControl
DefaultValueSym	DefaultValueSymbol
DefinedTraverser	DefinedWalker
DelayDescriptorSym	DelayDescriptorSymbol
DeleteAllDefsAndUses	DeleteAllDefinitionsAndUses
DeleteDefAndUses	DeleteDefinitionAndUses
DeleteExprInfo	DeleteExpressionInfo
DeleteInstrEventDependencyList	DeleteInstructionEventDependencyList
DeleteInstrEventHandler	DeleteInstructionEventHandler
DeleteNextDef	DeleteNextDefinition
DeleteOpndEventDependencyList	DeleteOperandEventDependencyList
DeleteOpndEventHandler	DeleteOperandEventHandler
DeleteUseDefLink	DeleteUseDefinitionLink
DepBackward	DependencyBackward
DerefBaseOpnd	DereferenceBaseOperand
DeriveMagicNum	DeriveMagicNumber
DescStr	DescriptionString
DescribeInstr	DescribeInstruction
DetachIndexOpnd	DetachIndexOperand
DetectRegVars	DetectRegisterVariables
DetermineAddDstTypeOnCancel	DetermineAddDestinationTypeOnCancel
DiffEngine	DifferenceEngine
DimEqual	DimensionEqual
DisableGSForSym	DisableGuardStackForSymbol
DisasmBlock	DisassembleBlock
DisassembleAndResolveInstr	DisassembleAndResolveInstruction
DispByteOffset	DisplacementByteOffset
DivByShift	DivideByShift
DivOvf	DivideOverflow
DoDynamicAlign	DoDynamicAlignment
DoEvaluateFuncOpnds	DoEvaluateFunctionOperands
DoEvaluatePhiInstrs	DoEvaluatePhiInstructions
DoForwardSubRenaming	DoForwardSubstitutionRenaming
DoIgnoreSignedOvf	DoIgnoreSignedOverflow
DoInsertPsiPhis	DoInsertPsiPhiNodes
DoMakeNewExprTmps	DoMakeNewExpressionTemporaries
DoOmitFramePtr	DoOmitFramePointer
DoPropagateImmOpnd	DoPropagateImmediateOperand
DoReplaceAggrs	DoReplaceAggregates
DoReplaceLabelOpnd	DoReplaceLabelOperand
DoReplacePhiWithConst	DoReplacePhiWithConstant
DoSr	DoStrengthReduction
DoTrackExprTmps	DoTrackExpressionTemporaries
DoUseAggressivePtrMathRules	DoUseAggressivePointerMathRules
Dom	Dominance
DomFrontierSet	DominanceFrontierSet
DontAlloc	DoNotAllocate
DontCheckNonPrimaryInheritance	DoNotCheckNonPrimaryInheritance
DontProcess	DoNotProcess
DotCtrl	DotControl
DotstarNode	DotStarNode
DoubleToLongOvf	DoubleToLongWithOverflow
DoubleToULongOvf	DoubleToULongWithOverflow
DropDepthFirstNums	DropDepthFirstNumbers
DropDoms	DropDominators
DropPostDoms	DropPostDominators
Dst	Destination
DstMayPartialOverlap	DestinationMayPartiallyOverlap
DstMustExactOverlap	DestinationMustExactlyOverlap
DstMustTotalOverlap	DestinationMustTotallyOverlap
DstOpnd	DestinationOperand
DstOpnd2	DestinationOperand2
