AMD3DNowEx	Amd3DNowEx
GlobalCallUnwindVecDtor	GlobalCallUnwindVectorDestructor
GlobalCtrl	GlobalControl
GlobalDef	GlobalDefinition
GlobalMemConstraintsDebugCtrl	GlobalMemoryConstraintsDebugControl
GlobalPtrRva	GlobalPointerRva
GlobalRegAllocPhase	GlobalRegisterAllocatorPhase
GlobalSyms	GlobalSymbols
GlobalVarSym	GlobalVariableSymbol
GlobalVarSymBiasExtensionObject	GlobalVariableSymbolBiasExtensionObject
Gopt	GlobalOptimizer
GoptJitPhase	GlobalOptimizerJitPhase
GotoLabelInstr	GotoLabelInstruction
GuardStackCookieInitInstr	GuardStackCookieInitializationInstruction
HandlerLabelInstr	HandlerLabelInstruction
HasAddrModeIndex	HasAddressModeIndex
HasAddrModeLea	HasAddressModeLea
HasAllAddrTaken	HasAllAddressTaken
HasAsmEBXMod	HasAsmEBXModifier
HasCompilandDetail	HasCompilationUnitDetail
HasCppEH	HasCxxEH
HasCppObj	HasCxxObject
HasCustomAttr	HasCustomAttribute
HasDefInLoop	HasDefinitionInLoop
HasDefaultCtor	HasDefaultConstructor
HasEhOperationFlow	HasEHOperationFlow
HasFramePtrRelLocals	HasFramePointerRelativeLocals
HasGCPtr	HasGCPointer
HasHFACallConv	HasHomogeneousFloatingPointAggregateCallConvention
HasHandlerRef	HasHandlerReference
HasIntDivByZero	HasIntDivideByZero
HasLabelSrc	HasLabelSource
HasMD	HasMetadata
HasMgdCode	HasManagedCode
HasOnlyOneRef	HasOnlyOneReference
HasPlabels	HasPlabel
HasReg	HasRegister
HasRegOpndBinding	HasRegisterOperandBinding
HasSrc	HasSource
HasVoidRet	HasVoidReturn
HashIndirVars	HashIndirectVariables
HashInstr	HashInstruction
HashLirEncodeCtrl	HashLirEncodeControl
HashTableSize	HashtableSize
HashedHirMappingInstrIConstIterator	HashedHirMappingInstructionIConstantIterator
HashedHirMappingInstrToHashedHirMappingInstrMap	HashedHirMappingInstructionToHashedHirMappingInstructionMap
HashedLirEncodeInstr	HashedLirEncodeInstruction
HashedLirEncodeInstrToHashedLirEncodeInstr	HashedLirEncodeInstructionToHashedLirEncodeInstruction
HashedLirEncodeOpnd	HashedLirEncodeOperand
HeaderInstr	HeaderInstruction
HiZero	HighZero
HoistDstToIndir	HoistDestinationToIndirect
HoistOpndToIndir	HoistOperandToIndirect
HoistPhiSrc	HoistPhiSource
HoistSrc	HoistSource
HoistSrcManual	HoistSourceManual
HoistSrcToMem	HoistSourceToMemory
HoistSrcToRegInRange	HoistSourceToRegisterInRange
IATSym	ImportAddressTableSymbol
IRegionBuilder	RegionBuilder
IVMRunTimeInfo	IVMRuntimeInfo
IdIConstIterator	IdIConstantIterator
IdToInstrMap	IdToInstructionMap
IdToObjMap	IdToObjectMap
IdToOpndMap	IdToOperandMap
IdToRegClassMap	IdToRegisterCategoryMap
IdToSymMap	IdToSymbolMap
IdToVarOpndMap	IdToVariableOperandMap
IgnoreCondCodes	IgnoreConditionCodes
IgnorePtr	IgnorePointer
Imm	Immediate
ImmDomNodes	ImmediateDominanceNodes
ImmOpndFreeList	ImmediateOperandFreeList
ImmPostDomNodes	ImmediatePostDominanceNodes
ImportModuleSym	ImportModuleSymbol
ImportModuleSymList	ImportModuleSymbolList
ImportSym	ImportSymbol
ImportSymCount	ImportSymbolCount
ImportSymList	ImportSymbolList
InBV	InBitVector
IndexOpnd	IndexOperand
IndirAliasedMemTag	IndirectAliasedMemoryTag
IndirSrc	IndirectSource
InductionVarRecognizer	InductionVariableRecognizer
InductionVarRecognizerForShift	InductionVariableRecognizerForShift
InfoFileFuncIConstIterator	InfoFileFunctionIConstantIterator
InfoLineColumnIConstIterator	InfoLineColumnIConstantIterator
InitAlignedBlk	InitializeAlignedBlock
InitAlignedBlk32	InitializeAlignedBlock32
InitCallRegSets	InitializeCallRegisterSets
InitData	InitializeData
InitFunc	InitializeFunction
InitGCFields	InitializeGCFields
InitInfo	InitializeInfo
InitKillRegs	InitializeKillRegisters
InitLocalsFlag	InitializeLocalsFlag
InitOneOpnd	InitializeOneOperand
InitStackAllocate	InitializeStackAllocate
InitTargetTypes	InitializeTargetTypes
InitialAppDomainCtrl	InitialAppDomainControl
InitialLabelInstrMap	InitialLabelInstructionMap
Inlinability	Inlineability
InlineeFuncUnit	InlineeFunctionUnit
InsertAfterDst	InsertAfterDestination
InsertAfterInstrEventDependencyList	InsertAfterInstructionEventDependencyList
InsertAfterOpnd	InsertAfterOperand
InsertAlignCode	InsertAlignmentCode
InsertBeforeDst	InsertBeforeDestination
InsertBeforeInstrEventDependencyList	InsertBeforeInstructionEventDependencyList
InsertBeforeSrc	InsertBeforeSource
InsertInstrEventDelegate	InsertInstructionEventDelegate
InsertLoc	InsertLocation
InsertMemOpndAfter	InsertMemoryOperandAfter
InsertNewDefNum	InsertNewDefNumber
InsertNewDefNumber	InsertNewDefinitionNumber
InsertNewInductionVariableDef	InsertNewInductionVariableDefinition
InsertRangeAfterInstrEvent	InsertRangeAfterInstructionEvent
InsertRangeAfterInstrEventWrapper	InsertRangeAfterInstructionEventWrapper
InsertRangeBeforeInstrEventDependencyList	InsertRangeBeforeInstructionEventDependencyList
InsertRefMap	InsertReferenceMap
InsertUseDefLink	InsertUseDefinitionLink
InstanceMemTag	InstanceMemoryTag
InstantiateLabelSym	InstantiateLabelSymbol
InstantiatedAggrTypeList	InstantiatedAggregateTypeList
Instr	Instruction
InstrBitSize	InstructionBitSize
InstrCodeBytes	InstructionCodeBytes
InstrCost	InstructionCost
InstrEventDelegate	InstructionEventDelegate
InstrHasSideEffect	InstructionHasSideEffect
InstrId	InstructionId
InstrIterKind	InstructionIteratorKind
InstrKind	InstructionKind
InstrRangeEventDelegate	InstructionRangeEventDelegate
InstrToBasicBlockMap	InstructionToBasicBlockMap
InstrToEHRegionNodeMap	InstructionToEHRegionNodeMap
InstrToInstrIConstIterator	InstructionToInstructionIConstantIterator
InstrToInstrMap	InstructionToInstructionMap
InstrToStringDelegate	InstructionToStringDelegate
InstructionIsRegisterPartialDef	InstructionIsRegisterPartialDefinition
IntCtrlValue	IntControlValue
IntDivTag	IntDivideTag
IntImmBitSize	IntImmediateBitSize
IntOvf	IntOverflow
IntShorteningConv	IntShorteningConvert
IntToCtrlMap	IntToControlMap
InterlockedCmpExchangeRuleList	InterlockedCompareExchangeRuleList
InterveningDefInSameBlock	InterveningDefinitionInSameBlock
IntrEnable	InterruptEnable
IntrinEntry	IntrinsicEntry
IntrinMap	IntrinsicMap
IntrinNumToOpcodeTable	IntrinsicNumberToOpcodeTable
InvertCondCode	InvertConditionCode
Ip	IP
Ir	IR
IsAFieldOfHFA	IsAFieldOfHomogeneousFloatingPointAggregate
IsAddrDirectlyTaken	IsAddressDirectlyTaken
IsAddrOf	IsAddressOf
IsAddrTaken	IsAddressTaken
IsAggrCheckVar	IsAggregateCheckVariable
IsAggrType	IsAggregateType
IsAllocatedParamBoolean	IsAllocatedParameterBoolean
IsArchConditionCode	IsArchitectureConditionCode
IsAssemblySym	IsAssemblySymbol
IsAsyncInTry	IsAsynchronousInTry
IsAtEof	IsAtEndOfFile
IsBaseRegLoc	IsBaseRegisterLocation
IsBasicStackVarNode	IsBasicStackVariableNode
IsBool	IsBoolean
IsBoolCtrlValue	IsBooleanControlValue
IsCLRCall	IsClrCall
IsCLRNativeVarArgs	IsClrNativeVariableArguments
IsCallInstrCheckRule	IsCallInstructionCheckRule
IsCdtorParam	IsCopyConstructorParameter
IsClearBoolCtrl	IsClearBooleanControl
IsClrTokenRef	IsClrTokenReference
IsCmpInstr	IsCompareInstruction
IsCntrCtrl	IsCounterControl
IsCodeTargetOpnd	IsCodeTargetOperand
IsComdatSym	IsComdatSymbol
IsCompatibleCtrl	IsCompatibleControl
IsCond	IsConditional
IsConstCell	IsConstantCell
IsConstPropStats	IsConstantPropagationStatistics
IsConstZero	IsConstantZero
IsCopyCtor	IsCopyConstructor
IsCxxInit	IsCxxInitialize
IsDLL	IsDll
IsDLLExportCom	IsDllExportCommunal
IsDanglingDef	IsDanglingDefinition
IsDataInstr	IsDataInstruction
IsDeadCodeStats	IsDeadCodeStatistics
IsDef	IsDefinition
IsDefaultRef	IsDefaultReference
IsDotNetModule	IsClrModule
IsDtor	IsDestructor
IsEquivalentSkipRefLink	IsEquivalentSkipReferenceLink
IsExcept	IsException
IsExitInstr	IsExitInstruction
IsExportSym	IsExportSymbol
IsExprTmp	IsExpressionTemporary
IsFieldDef	IsFieldDefinition
IsFileSym	IsFileSymbol
IsFrameLoc	IsFrameLocation
IsFrameVarSym	IsFrameVariableSymbol
IsFunc	IsFunction
IsFuncDebugInfo	IsFunctionDebugInfo
IsFuncOpnd	IsFunctionOperand
IsFuncType	IsFunctionType
IsFunclet	IsNestedFunction
IsGCAggr	IsGCAggregate
IsGCUnCheckedBarrier	IsGCUncheckedBarrier
IsGSCand	IsGuardStackCandidate
IsGlobalCom	IsGlobalCommunal
IsGlobalRef	IsGlobalReference
IsGotoRef	IsGotoReference
IsHandlerRef	IsHandlerReference
IsHideBySig	IsHideBySignature
IsImmOpnd	IsImmediateOperand
IsImportModuleSym	IsImportModuleSymbol
IsIndir	IsIndirect
IsInductionVar	IsInductionVariable
IsInit	IsInitialize
IsInitOnly	IsInitializeOnly
IsInstantiationParam	IsInstantiationParameter
IsIntCtrlValue	IsIntControlValue
IsIntImmOpndBinding	IsIntImmediateOperandBinding
IsInterlockedIntrin	IsInterlockedIntrinsic
IsLabelOpnd	IsLabelOperand
IsLargeInstr	IsLargeInstruction
IsLocTag	IsLocationTag
IsLocalVarSym	IsLocalVariableSymbol
IsLoopInvariantMemAddr	IsLoopInvariantMemoryAddress
IsMdtFieldDef	IsMdtFieldDefinition
IsMemConstraintModRef	IsMemoryConstraintAlias
IsMemOpnd	IsMemoryOperand
IsMemRef	IsMemoryReference
IsMgdArrayCheckVar	IsManagedArrayCheckVariable
IsMgdAssembly	IsManagedAssembly
IsMgdPtr	IsManagedPointer
IsModRefOpnd	IsAliasOperand
IsModUnaligned	IsModifierUnaligned
IsMsilTypeSym	IsMsilTypeSymbol
IsMultiMap	IsMultipleMap
IsNonLocalVarSym	IsNonLocalVariableSymbol
IsNotCachable	IsNotCacheable
IsNullPtr	IsNullPointer
IsObjPtr	IsObjectPointer
IsOpEqOpndBinding	IsOperandsEqualOperandBinding
IsOrCheckVar	IsOrCheckVariable
IsParam	IsParameter
IsParamRegLoc	IsParameterRegisterLocation
IsPchFile	IsPrecompiledHeaderFile
IsPhysReg	IsPhysicalRegister
IsPlugInCtrl	IsPlugInControl
IsPostFrameGen	IsPostFrameGenerated
IsPow2	IsPowerOf2
IsPrimCheckVar	IsPrimitiveCheckVariable
IsPrimTypeKindCheckConstraint	IsPrimitiveTypeKindCheckConstraint
IsPropertySym	IsPropertySymbol
IsPseudoRegId	IsPseudoRegisterId
IsPtrCheckVar	IsPointerCheckVariable
IsPureFunc	IsPureFunction
IsRVal	IsRValue
IsRefLinked	IsReferenceLinked
IsRefTo	IsReferenceTo
IsReg	IsRegister
IsRegId	IsRegisterId
IsRegOpndBinding	IsRegisterOperandBinding
IsRegSetOpndBinding	IsRegisterSetOperandBinding
IsRegionAlternativeEntryRef	IsRegionAlternativeEntryReference
IsRelAddr	IsRelativeAddress
IsResourceSym	IsResourceSymbol
IsRetInstrCheckRule	IsReturnInstructionCheckRule
IsRuntimeRef	IsRuntimeReference
IsSectSym	IsSectionSymbol
IsSetBoolCtrl	IsSetBooleanControl
IsSingleCntrCtrlValue	IsSingleCounterControlValue
IsSrcDstLivenessOverlap	IsSourceDestinationLivenessOverlap
IsSsaPhiInstr	IsSsaPhiInstruction
IsStdCall	IsStdcall
IsStringCtrl	IsStringControl
IsSubSet	IsSubset
IsSymImm	IsSymbolicImmediate
IsTagRefSameSize	IsTagReferenceSameSize
IsTechRef	IsTechnicalReference
IsThisPtr	IsThisPointer
IsTmpReg	IsTemporaryRegister
IsTypeDefSymbol	IsTypeDefinitionSymbol
IsTypeParam	IsTypeParameter
IsTypeValidFunc	IsTypeValidFunction
IsTypedefSym	IsTypeDefSymbol
IsUncond	IsUnconditional
IsUnk	IsUnknown
IsUnmgdByRef	IsUnmanagedByReference
IsUnmgdPtr	IsUnmanagedPointer
IsUnreachableCodeStats	IsUnreachableCodeStatistics
IsVarAddr	IsVariableAddress
IsVarMem	IsVariableMemory
IsVarSym	IsVariableSymbol
IsWeakRef	IsWeakReference
IterArg	IteratorArgument
IterBackwardEditing	IteratorBackwardEditing
IterBackwardEditingInstr	IteratorBackwardEditingInstruction
IterBackwardEditingRangeInstr	IteratorBackwardEditingRangeInstruction
IterBackwardRange	IteratorBackwardRange
IterBackwardRangeInstr	IteratorBackwardRangeInstruction
IterChild	IteratorChild
IterDataflowDst	IteratorDataflowDestination
IterDataflowSrc	IteratorDataflowSource
IterDef	IterDefinition
IterDst	IteratorDestination
IterEditing	IteratorEditing
IterEditingCaseRef	IteratorEditingCaseReference
IterEditingDataflow	IteratorEditingDataflow
IterEditingDataflowDstAndSrc	IteratorEditingDataflowDestinationAndSource
IterEditingDataflowSrcAndDst	IteratorEditingDataflowSourceAndDestination
IterEditingDstAndSrc	IteratorEditingDestinationAndSource
IterEditingExplicitDst	IteratorEditingExplicitDestination
IterEditingExplicitSrc	IteratorEditingExplicitSource
IterEditingRange	IteratorEditingRange
IterEditingSrcAndDst	IteratorEditingSourceAndDestination
IterExplicitDst	IteratorExplicitDestination
IterExplicitSrc	IteratorExplicitSource
IterForwardBothDataflowOpnd	IteratorForwardBothDataflowOperand
IterForwardBothOpnd	IteratorForwardBothOperand
IterForwardDataflowOpnd	IteratorForwardDataflowOperand
IterForwardDefOpnd	IteratorForwardDefOperand
IterForwardEditingBothExplicitOpnd	IteratorForwardEditingBothExplicitOperand
IterForwardEditingCaseRefLabelOpnd	IteratorForwardEditingCaseReferenceLabelOperand
IterForwardEditingExplicitOpnd	IteratorForwardEditingExplicitOperand
IterForwardEditingLabelOpnd	IteratorForwardEditingLabelOperand
IterForwardEditingOpnd	IteratorForwardEditingOperand
IterForwardEditingRangeInstr	IteratorForwardEditingRangeInstruction
IterForwardEditingUnit	IteratorForwardEditingUnit
IterForwardExportSym	IteratorForwardExportSymbol
IterForwardImportSym	IteratorForwardImportSymbol
IterForwardLabelOpnd	IteratorForwardLabelOperand
IterForwardMember	IteratorForwardMember
IterForwardRangeBasicBlock	IteratorForwardRangeBasicBlock
IterForwardRangeUnit	IteratorForwardRangeUnit
IterForwardUnit	IteratorForwardUnit
IterRange	IteratorRange
IterSrc	IteratorSource
IterUse	IteratorUse
IterativeTopDownReverseCanon	IterativeTopDownReverseCanonicalize
IteratorForwardDefOperand	IteratorForwardDefinitionOperand
KeySpec	KeySpecification
KillBV	KillBitVector
KillRegsTag	KillRegistersTag
LabelInstr	LabelInstruction
LabelKindsCtrl	LabelKindsControl
LabelOpndFreeList	LabelOperandFreeList
LabelOpndList	LabelOperandList
LabelSym	LabelSymbol
LabelSymFreeList	LabelSymbolFreeList
LastCaseLabelOpnd	LastCaseLabelOperand
LastDefUseLocation	LastDefinitionUseLocation
LastExplicitDstOpnd	LastExplicitDestinationOperand
LastInstr	LastInstruction
LastPosReservedTag	LastPositionReservedTag
LastRegionSeg	LastRegionSegment
LatticeIConstIterator	LatticeIConstantIterator
LdElemaRef	LdElemaReference
LeftMostLeafNode	LeftmostLeafNode
LegalOpndFlags	LegalOperandFlags
LegalOpndList	LegalOperandList
LegalizeOpnd	LegalizeOperand
LexicalParentSym	LexicalParentSymbol
LifetimeKindAttr	LifetimeKindAttribute
LineCharBufSize	LineCharacterBufferSize
LineNumFilePtr	LineNumberFilePointer
LineNumsStripped	LineNumbersStripped
LinkedLoopTypeDefOfInt	LinkedLoopTypeDefinitionOfInt
LiveOutBv	LiveOutBitVector
LoadConfigRva	LoadConfigurationRva
LoadGlobalSyms	LoadGlobalSymbols
LoaderSym	LoaderSymbol
LocKind	LocationKind
LocMustTotalOverlap	LocationMustTotallyOverlap
LocalAlign	LocalAlignment
LocalPtrRegIsUsed	LocalPointerRegisterIsUsed
LocalSymReader	LocalSymbolReader
LocalSymsStripped	LocalSymbolsStripped
LocalVarFinder	LocalVariableFinder
LocalVarList	LocalVariableList
LocalVarStackDirection	LocalVariableStackDirection
LocalVarSymFreeList	LocalVariableSymbolFreeList
LocalizeSym	LocalizeSymbol
LongDiv	LongDivide
LongMod	LongModifier
LongMulOvf	LongMultiplyWithOverflow
LongUMod	LongUModifier
LookupCtrl	LookupControl
LookupLabelInstrAtRva	LookupLabelInstructionAtRva
LookupSym	LookupSymbol
LoopAttr	LoopAttribute
LoopIConstIterator	LoopIConstantIterator
LoptAttr	LoopOptimizerAttribute
LowLevelIRBeforeLayoutFuncUnitState	LowLevelIRBeforeLayoutFunctionUnitState
LowerExitFunclet	LowerExitNestedFunction
LowerFinallyDebugCtrl	LowerFinallyDebugControl
MD	Metadata
MDUtils	MetadataUtilities
MIRLowerPhase	MirLowerPhase
MKMaskDuplicate	MatchKindMaskDuplicate
MKMaskIRLevel	MatchKindMaskIRLevel
MKMaskTransform	MatchKindMaskTransform
MSIL	Msil
MSILFloatValue	MsilFloatValue
MainEntryInstr	MainEntryInstruction
MainRegionLabelInstr	MainRegionLabelInstruction
MajorImageVer	MajorImageVersion
MajorOperatingSystemVer	MajorOperatingSystemVersion
MajorVer	MajorVersion
MakeOpndsLegal	MakeOperandsLegal
MakeUnmgdEntry	MakeUnmanagedEntry
MapActualsToFormals	MapActualParametersToFormalParameters
MapInstr	MapInstruction
MarkAddrTakenIfEscaped	MarkAddressTakenIfEscaped
MarkAsEhSafe	MarkAsEHSafe
MarkFuncletRva	MarkNestedFunctionRva
MarkTagAsUnDef	MarkTagAsUnDefinition
MarshalAttrSym	MarshalAttributeSymbol
MatchExceptJump	MatchExceptionJump
MatchInstrForm	MatchInstructionForm
MatchMatchPtr	MatchMatchPointer
MatchRegAlloc	MatchRegisterAllocator
MaxAlign	MaxAlignment
MaxCallTargetDispBitSize	MaxCallTargetDisplacementBitSize
MaxDefNum	MaxDefinitionNum
MaxDstOpndLists	MaxDestinationOperandLists
MaxIterNumPerBlock	MaxIteratorNumberPerBlock
MaxOpnd	MaxOperand
MaxPrePostNum	MaxPrePostNumber
MaxPrologInitsCtrl	MaxPrologInitializationsControl
MaxStateNum	MaxStateNumber
MayHaveUnknownSrc	MayHaveUnknownSource
MayPartialOverlapLoc	MayPartiallyOverlapLocation
MdEmitter	MetadataEmitter
MdSig	MetadataSignature
Mem	Memory
MemCmp	MemoryCompare
MemCpy	MemoryCopy
MemDiscardable	MemoryDiscardable
MemIntrinByteSize	MemoryIntrinsicByteSize
MemIntrinSrc1AlignBytes	MemoryIntrinsicSource1AlignmentBytes
MemLivenessTraverser	MemoryLivenessWalker
MemNotCached	MemoryNotCached
MemOpnd	MemoryOperand
MemOpndAddrModeExtensionObjectFreeList	MemoryOperandAddressModeExtensionObjectFreeList
MemRead	MemoryRead
MemSet	MemorySet
MemShared	MemoryShared
MemStats	MemoryStatistics
MemWrite	MemoryWrite
Mem__Non__Non_	Memory__Non__Non_
Mem__ST0p_Non_	Memory__ST0p_Non_
MemberIConstIterator	MemberIConstantIterator
MemoryStats	MemoryStatistics
MessageStr	MessageString
MetaDataReader	MetadataReader
MgdArray	ManagedArray
MgdArrayCheckVarFreeList	ManagedArrayCheckVariableFreeList
MgdArrayType	ManagedArrayType
MgdPtrCheckVar	ManagedPointerCheckVariable
MgdReferentTypeSig	ManagedReferentTypeSignature
MinAlign	MinAlignment
MinOpnd	MinOperand
MingleSrcCtrl	MingleSourceControl
MinorImageVer	MinorImageVersion
MinorOperatingSystemVer	MinorOperatingSystemVersion
MinorVer	MinorVersion
Mod	Modifier
ModKind	ModifierKind
ModRefOpnd	AliasOperand
ModType	ModifierType
ModuleInit	ModuleInitialize
MonEnter	MonitorEnter
MonExit	MonitorExit
MostRestrictAlign	MostRestrictAlignment
MoveToFrontOfPredList	MoveToFrontOfPredecessorList
MsilTypeSymFreeList	MsilTypeSymbolFreeList
MulOvf	MultiplyWithOverflow
MulStrengthReduction	MultiplyStrengthReduction
Mulshift	ShiftExpansion
MulshiftPhase	ShiftExpansionPhase
MulshiftReduce	ShiftExpansionReduce
MultiByteAlloc	MultipleByteAllocate
MultiCntr	MultipleCounter
MultiMapInsert	MultipleMapInsert
MultiValIterator	MultipleValueIterator
MustExactOverlap	MustExactlyOverlap
MustTotalOverlap	MustTotallyOverlap
MustTrackThisPtr	MustTrackThisPointer
NameIConstIterator	NameIConstantIterator
NameSym	NameSymbol
NameToSymMap	NameToSymbolMap
NamedAttrArg	NamedAttributeArgument
NamedAttrArgList	NamedAttributeArgumentList
NamespaceSymFreeList	NamespaceSymbolFreeList
NaturalAlign	NaturalAlignment
NeedAssignRegClassPseudoRegs	NeedAssignRegisterCategoryPseudoRegisters
NeedRestoreFromPSPSym	NeedRestoreFromParentStackPointerSymbol
NeedsFunclets	NeedsNestedFunctions
NeedsTypeArgCacheInit	NeedsTypeArgumentCacheInitialized
Neg	Negate
NewAlignedLocTag	NewAlignedLocationTag
NewArrayObj	NewArrayObject
NewBinaryNoDst	NewBinaryNoDestination
NewCmpTmp	NewCompareTemporary
NewDisasm	NewDisassembler
NewExpr	NewExpression
NewImm	NewImmediate
NewInstrEventDependencyList	NewInstructionEventDependencyList
NewInstrEventHandler	NewInstructionEventHandler
NewLocTag	NewLocationTag
NewMem	NewMemory
NewMemOpndForVarOpnd	NewMemoryOperandForVariableOperand
NewOpndEvent	NewOperandEvent
NewOpndEventDependencyObject	NewOperandEventDependencyObject
NewOpndEventWrapper	NewOperandEventWrapper
NewRefTag	NewReferenceTag
NewRegAlloc	NewRegisterAllocator
NewSymSize	NewSymbolSize
NewTernaryNoDst	NewTernaryNoDestination
NewTmpAddr	NewTemporaryAddress
NewTmpSym	NewTemporarySymbol
NewUnaryNoDst	NewUnaryNoDestination
NewVarObj	NewVariableObject
NextAlternativeEntryRefLabelOpnd	NextAlternativeEntryReferenceLabelOperand
NextAssociatedRegionRefLabelOpnd	NextAssociatedRegionReferenceLabelOperand
NextDefOperand	NextDefinitionOperand
NextDesc	NextDescription
NextFuncInfoExtensionObject	NextFunctionInfoExtensionObject
NextImportSym	NextImportSymbol
NextInstr	NextInstruction
NextNodeAddr	NextNodeAddress
NextPredEdge	NextPredecessorEdge
NextRegionSeg	NextRegionSegment
NextSuccEdge	NextSuccessorEdge
NextTypeFieldSym	NextTypeFieldSymbol
NextTypePropertySym	NextTypePropertySymbol
NoCheckAssertCtrl	NoCheckAssertControl
NoCommuteCmps	NoCommuteCompares
NoFoldingOvf	NoFoldingOverflow
NoMem	NoMemory
NoRegOrderArray	NoRegisterOrderArray
NoReverseCopyProp	NoReverseCopyPropagation
NodeAST	NodeAst
NodeExceptBody	NodeExceptionBody
NodeExpr	NodeExpression
NodeInit	NodeInitialize
Noduplicates	NoDuplicates
NonLocalVar	NonLocalVariable
NonLocalVarSymFreeList	NonLocalVariableSymbolFreeList
Non__Mem__Non_	Non__Memory__Non_
Non__ST0p_Mem_	Non__ST0p_Memory_
NotAPrimType	NotAPrimitiveType
NotSupportedCppEhFailure	NotSupportedCxxEHFailure
NthPredNode	NthPredecessorNode
NthSuccNode	NthSuccessorNode
NullPtrType	NullPointerType
Num	Number
NumBitsInNode	NumberBitsInNode
NumDefUse	NumDefinitionUse
NumExprOpnds	NumberExpressionOperands
NumLayouts	NumberLayouts
NumMap	NumberMap
NumOpcodes	NumberOpcodes
NumPasses	NumberPasses
NumRegs	NumberRegisters
NumTryRegionsExcludingFunclets	NumberTryRegionsExcludingNestedFunctions
NumUserParamsShadowed	NumberUserParametersShadowed
NumberDefUse	NumberDefinitionUse
ObjFixupDelegate	ObjectFixupDelegate
ObjIConstIterator	ObjectIConstantIterator
ObjPtr	ObjectPointer
ObjPtrSystemStringType	ObjectPointerSystemStringType
ObjToId	ObjectToId
ObjToObj	ObjectToObject
ObjToObjFixupDelegateMap	ObjectToObjectFixupDelegateMap
ObjVector	ObjectVector
ObsoleteCurrToken	ObsoleteCurrentToken
OffCtrl	OffControl
OffsetForExplicitChkNull	OffsetForExplicitCheckNull
OffsetOfArrayFirstRT	OffsetOfArrayFirstReferenceType
OffsetOfArrayLenRT	OffsetOfArrayLengthReferenceType
OffsetOfStrFirst	OffsetOfStringFirst
OffsetsCtrl	OffsetsControl
OpEq	OperandsEqual
OpcodeAttr	OpcodeAttribute
OpcodeDumpInstrToStringEventDependencyList	OpcodeDumpInstructionToStringEventDependencyList
OpcodeX87Args	OpcodeX87Arguments
Opnd	Operand
Opnd2	Operand2
OpndBindingKind	OperandBindingKind
OpndEventDelegate	OperandEventDelegate
OpndKind	OperandKind
OpndListConstants	OperandListConstants
OpndListSelector	OperandListSelector
OpndToBoolean	OperandToBoolean
OpndToSbv	OperandToSparseBitVector
OpndToStringDelegate	OperandToStringDelegate
OpndVector	OperandVector
OptCtrl	OptimizationControl
OptMessage	OptimizationMessage
OrCheckVar	OrCheckVariable
OrderToRegIdForRegClassId	OrderToRegisterIdForRegisterCategoryId
OriginalInstrByteOffset	OriginalInstructionByteOffset
OutBV	OutBitVector
OutlineInstr	OutlineInstruction
OverlapLoc	OverlapLocation
Ovf	Overflow
OvfTest	OverflowTest
OwnerFuncSym	OwnerFunctionSymbol
PEFixupIConstIterator	PEFixupIConstantIterator
PEModuleUnitIConstIterator	PEModuleUnitIConstantIterator
PInvokeCalliFuncSym	PInvokeCalliFunctionSymbol
PValue	PointerToValue
Packedtype	PackedType
PackedtypePackedtype	PackedTypePackedType
PackedtypePackedtypePool	PackedTypePackedTypePool
PackerSubcaseFilterCtrl	PackerSubcaseFilterControl
Param	Parameter
ParamByteOffset	ParameterByteOffset
ParamId	ParameterId
ParamNodeFreeList	ParameterNodeFreeList
ParamPtrRegIsUsed	ParameterPointerRegisterIsUsed
ParamRegLoc	ParameterRegisterLocation
Params	Parameters
ParenNode	ParenthesisNode
ParentAggrType	ParentAggregateType
ParentFuncletNode	ParentNestedFunctionNode
ParentReg	ParentRegister
ParseArgList	ParseArgumentList
ParseArgs	ParseArguments
ParseMethodDefOrReferenceSignature	ParseMethodDefinitionOrReferenceSignature
ParserDumpBoolCtrl	ParserDumpBooleanControl
PartialDefBackward	PartialDefinitionBackward
PartialTagsBv	PartialTagsBitVector
PartialUseOrDefForward	PartialUseOrDefinitionForward
PassRegArgs	PassRegisterArguments
PathFreq	PathFrequency
PchChkSum	PrecompiledHeaderChecksum
PchFileName	PrecompiledHeaderFileName
PchMap	PrecompiledHeaderMap
PchSig	PrecompiledHeaderSignature
PermissionSym	PermissionSymbol
PhaseConfig	PhaseConfiguration
PhxStringIConstIterator	PhxStringIConstantIterator
PlabelSym	PlabelSymbol
PlaceHolderOnly	PlaceholderOnly
PlugInCtrl	PlugInControl
PogoInst	PogoInstance
PopReg	PopRegister
PopulateExportNodesInIUCGPhase	PopulateExportNodesInInterUnitCallGraphPhase
PostDom	PostDominance
PostDomLevel	PostDominanceLevel
PostDumpInstrToStringEventDependencyList	PostDumpInstructionToStringEventDependencyList
PostDumpInstrToStringEventHandler	PostDumpInstructionToStringEventHandler
PostDumpOpndToStringEvent	PostDumpOperandToStringEvent
PostDumpOpndToStringEventWrapper	PostDumpOperandToStringEventWrapper
PostNum	PostNumber
PragmaInstr	PragmaInstruction
PreDumpCtrl	PreDumpControl
PreDumpInstrToStringEventDependencyList	PreDumpInstructionToStringEventDependencyList
PreDumpInstrToStringEventHandler	PreDumpInstructionToStringEventHandler
PreNum	PreNumber
PreProcessStatus	PreprocessStatus
PredCount	PredecessorCount
PredEdgeListTail	PredecessorEdgeListTail
PredefinedCilId	PredefinedCxxILId
